Plot,Strip,date,Wet bag wt. (g),WW + bag (g),Wet wt. (g),Dry bag wt. (g),DW + bag (g),Dry  wt. (g), 
14.1,1,10/2/2024,21,381,360,20,167.2,147.2,
14.1,2,10/2/2024,21,378,357,20,138.56,118.56,
14.1,3,10/2/2024,21,464,443,20,175.85,155.85,
14.1,4,10/2/2024,21,296,275,20,118.76,98.76,
14.1,5,10/2/2024,21,349,328,20,146.94,126.94,
14.1,6,10/2/2024,21,417,396,20,180.45,160.45,
14.1,7,10/2/2024,21,451,430,20,162.45,142.45,
14.1,8,10/2/2024,21,466,445,20,172.96,152.96,
14.1,9,10/2/2024,21,429,408,20,190.52,170.52,
14.1,10,10/2/2024,21,186,165,20,84.28,64.28,
14.2,1,10/2/2024,21,318,297,20,21.21,1.21,
14.2,2,10/2/2024,21,338,317,20,111.3,91.3,
14.2,3,10/2/2024,21,322,301,20,130.68,110.68,
14.2,4,10/2/2024,21,312,291,20,133.07,113.07,
14.2,5,10/2/2024,21,402,381,20,156.9,136.9,
14.2,6,10/2/2024,21,417,396,20,149.75,129.75,
14.2,7,10/2/2024,21,285,264,20,110.9,90.9,
14.2,8,10/2/2024,21,428,407,20,163.02,143.02,
14.2,9,10/2/2024,21,308,287,20,115.21,95.21,
14.2,10,10/2/2024,21,339,318,20,121.28,101.28,
14.3,1,10/2/2024,21,406,385,20,133.45,113.45,
14.3,2,10/2/2024,21,308,287,20,104.48,84.48,
14.3,3,10/2/2024,21,314,293,20,121.76,101.76,
14.3,4,10/2/2024,21,327,306,20,113.33,93.33,
14.3,5,10/2/2024,21,442,421,20,149.03,129.03,
14.3,6,10/2/2024,21,407,386,20,131.41,111.41,
14.3,7,10/2/2024,21,371,350,20,150.72,130.72,
14.3,8,10/2/2024,21,385,364,20,135.37,115.37,
14.3,9,10/2/2024,21,397,376,20,144.78,124.78,
14.3,10,10/2/2024,21,371,350,20,157.45,137.45,
14.4,1,10/2/2024,21,351,330,20,115.27,95.27,
14.4,2,10/2/2024,21,306,285,20,113.49,93.49,
14.4,3,10/2/2024,21,326,305,20,103.94,83.94,
14.4,4,10/2/2024,21,295,274,20,90.67,70.67,
14.4,5,10/2/2024,21,273,252,20,96.83,76.83,
14.4,6,10/2/2024,21,356,335,20,103.76,83.76,
14.4,7,10/2/2024,21,261,240,20,101,81,
14.4,8,10/2/2024,21,289,268,20,110.54,90.54,
14.4,9,10/2/2024,21,235,214,20,84.7,64.7,
14.4,10,10/2/2024,21,281,260,20,92.55,72.55,
28.1,1,10/2/2024,21,385,364,20,139.72,119.72,
28.1,2,10/2/2024,21,393,372,20,155.35,135.35,
28.1,3,10/2/2024,21,360,339,20,140.27,120.27,
28.1,4,10/2/2024,21,305,284,20,128.66,108.66,
28.1,5,10/2/2024,21,354,333,20,148.7,128.7,
28.1,6,10/2/2024,21,372,351,20,192.38,172.38,
28.1,7,10/2/2024,21,363,342,20,142,122,
28.1,8,10/2/2024,21,431,410,20,157.1,137.1,
28.1,9,10/2/2024,21,402,381,20,139.6,119.6,
28.1,10,10/2/2024,21,426,405,20,156.93,136.93,
28.2,1,10/2/2024,21,402,381,20,146.37,126.37,
28.2,2,10/2/2024,21,455,434,20,157.54,137.54,
28.2,3,10/2/2024,21,434,413,20,130.31,110.31,
28.2,4,10/2/2024,21,489,468,20,132.08,112.08,
28.2,5,10/2/2024,21,493,472,20,148.39,128.39,
28.2,6,10/2/2024,21,438,417,20,147.6,127.6,
28.2,7,10/2/2024,21,316,295,20,112.68,92.68,
28.2,8,10/2/2024,21,355,334,20,127.27,107.27,
28.2,9,10/2/2024,21,394,373,20,114.72,94.72,
28.2,10,10/2/2024,21,375,354,20,120.53,100.53,
28.3,1,10/2/2024,21,461,440,20,183.31,163.31,
28.3,2,10/2/2024,21,418,397,20,139.61,119.61,
28.3,3,10/2/2024,21,456,435,20,130.08,110.08,
28.3,4,10/2/2024,21,507,486,20,186.49,166.49,
28.3,5,10/2/2024,21,474,453,20,179.01,159.01,
28.3,6,10/2/2024,21,404,383,20,129.54,109.54,
28.3,7,10/2/2024,21,447,426,20,123.34,103.34,
28.3,8,10/2/2024,21,451,430,20,139.34,119.34,
28.3,9,10/2/2024,21,467,446,20,141.07,121.07,
28.3,10,10/2/2024,21,406,385,20,128.6,108.6,
28.4,1,10/2/2024,21,418,397,20,130.47,110.47,
28.4,2,10/2/2024,21,524,503,20,143.2,123.2,
28.4,3,10/2/2024,21,498,477,20,149.51,129.51,
28.4,4,10/2/2024,21,658,637,20,371.6,351.6,
28.4,5,10/2/2024,21,498,477,20,141.84,121.84,
28.4,6,10/2/2024,21,520,499,20,154.08,134.08,
28.4,7,10/2/2024,21,549,528,20,231.19,211.19,
28.4,8,10/2/2024,21,477,456,20,145.96,125.96,
28.4,9,10/2/2024,21,521,500,20,146.45,126.45,
28.4,10,10/2/2024,21,445,424,20,148.01,128.01,
