,Segment,Average Height
0,df1,112.50009955555552
1,df2,124.85900493150686
2,df3,123.25221333333333
3,df4,100.44469925925924
4,df5,109.41497599999998
5,df6,117.96959058823529
6,df7,121.71507096774194
7,df8,127.71455304347823
8,df9,116.58767999999999
9,df10,86.31531897435899
10,df11,106.20546120481926
11,df12,136.25880258064512
12,df13,108.31184810126581
13,df14,123.74094577777775
14,df15,138.30413276595746
15,df16,134.75907848101258
16,df17,121.95305113924046
17,df18,145.2451733333333
18,df19,110.5639671794872
19,df20,123.35263780821916
20,df21,122.52944
21,df22,133.80168195121948
22,df23,118.15239652173912
23,df24,133.56989827160493
24,df25,142.63413698630137
25,df26,123.92743578947365
26,df27,142.31277866666667
27,df28,127.65080533333332
28,df29,120.38356637681157
29,df30,125.93679999999993
30,df31,149.75654974358972
31,df32,132.1175925581395
32,df33,147.40134588235296
33,df34,122.1911494736842
34,df35,117.31158620689654
35,df36,138.6725645977011
36,df37,99.40330734177212
37,df38,114.47207813953484
38,df39,100.69533128205127
39,df40,113.17210666666666
40,df41,162.78717714285713
41,df42,174.29420799999997
42,df43,145.6027824390244
43,df44,159.57392000000002
44,df45,158.349312
45,df46,169.19874604651162
46,df47,197.51829565217386
47,df48,159.70901189189186
48,df49,190.05711999999997
49,df50,150.5013524528302
50,df51,179.38008
51,df52,177.5233982089552
52,df53,180.73787707317072
53,df54,172.5922247191011
54,df55,214.31543325301206
55,df56,204.03968640000005
56,df57,118.42919578947367
57,df58,192.6645934177215
58,df59,255.72624000000008
59,df60,161.92316799999998
60,df61,185.07322029850747
61,df62,200.42570810810813
62,df63,265.0544411428571
63,df64,151.61994434782605
64,df65,165.60902518518517
65,df66,202.7476
66,df67,199.87608767123285
67,df68,199.92211555555554
68,df69,211.12079999999997
69,df70,196.56207999999998
70,df71,238.073792
71,df72,261.7647378823529
72,df73,171.9106303296703
73,df74,164.87329892473122
74,df75,224.34266105263157
75,df76,184.85154285714287
76,df77,202.84578285714284
77,df78,237.61560533333335
78,df79,164.82938057142854
79,df80,174.844032
